Name,Rider Number,Team Name,Time Hour,Time Minutes,Time Seconds
U. BERRADE FERNANDEZ,201,EQUIPO KERN PHARMA,4,28,33
G. MARTIN,181,COFIDIS,4,28,37
N. QUINTANA,126,MOVISTAR TEAM,4,29,5
L. MEINTJES,161,INTERMARCHÉ - WANTY,4,29,12
L. DE PLUS,22,INEOS GRENADIERS,4,29,24
J. PARRA CUERDA,206,EQUIPO KERN PHARMA,4,29,24
J. BOU COMPANY,215,EUSKALTEL-EUSKADI,4,29,24
T. ARENSMAN,21,INEOS GRENADIERS,4,29,24
G. MARTIN SANZ,217,EUSKALTEL-EUSKADI,4,29,51
E. DUNBAR,141,TEAM JAYCO ALULA,4,29,51
A. CEPEDA,118,EF EDUCATION - EASYPOST,4,30,22
I. IZAGIRRE,185,COFIDIS,4,30,22
B. ARMIRAIL,52,DECATHLON AG2R LA MONDIALE TEAM,4,30,22
D. CARUSO,132,BAHRAIN VICTORIOUS,4,30,22
M. WOODS,81,ISRAEL - PREMIER TECH,4,30,32
M. POOLE,171,TEAM DSM-FIRMENICH POSTNL,4,30,32
V. PARET PEINTRE,58,DECATHLON AG2R LA MONDIALE TEAM,4,30,42
D. MARTINEZ POVEDA,67,RED BULL - BORA - HANSGROHE,4,30,59
S. OOMEN,45,LIDL-TREK,4,31,17
M. VANSEVENANT,37,T-REX – Quick-Step,4,32,2
Q. PACHER,106,GROUPAMA-FDJ,4,32,17
M. RIES,158,ARKEA-B&B HOTELS,4,32,17
W. LECERF,35,T-REX – Quick-Step,4,32,17
M. TUSVELD,177,TEAM DSM-FIRMENICH POSTNL,4,32,52
O. RODRIGUEZ GARAICOECHEA,27,INEOS GRENADIERS,4,32,52
K. GOOSSENS,163,INTERMARCHÉ - WANTY,4,33,15
L. MATE MARDONES,218,EUSKALTEL-EUSKADI,4,34,29
M. SOLER,18,UAE TEAM EMIRATES,4,34,29
C. VERONA,48,LIDL-TREK,4,34,29
J. LASTRA,187,COFIDIS,4,34,29
P. CASTRILLO ZAPATER,202,EQUIPO KERN PHARMA,4,34,29
J. GUTIERREZ GONZALEZ,203,EQUIPO KERN PHARMA,4,34,29
N. OLIVEIRA,125,MOVISTAR TEAM,4,34,29
G. CICCONE,42,LIDL-TREK,4,34,29
T. GEOGHEGAN HART,43,LIDL-TREK,4,34,29
J. VINE,15,UAE TEAM EMIRATES,4,34,29
R. FERNANDEZ,184,COFIDIS,4,34,47
U. IRIBAR JAUREGI,204,EQUIPO KERN PHARMA,4,34,47
